query_image,query_id,nn1_image,nn1_id,nn1_similarity
data\reid\opencows2020\subset_debug\001\000001.jpg,001,data\reid\opencows2020\subset_debug\001\000003.jpg,001,0.9725184440612793
data\reid\opencows2020\subset_debug\001\000002.jpg,001,data\reid\opencows2020\subset_debug\005\000001.jpg,005,0.9739771485328674
data\reid\opencows2020\subset_debug\001\000003.jpg,001,data\reid\opencows2020\subset_debug\001\000004.jpg,001,0.9827384352684021
data\reid\opencows2020\subset_debug\001\000004.jpg,001,data\reid\opencows2020\subset_debug\001\000003.jpg,001,0.9827384352684021
data\reid\opencows2020\subset_debug\002\000001.jpg,002,data\reid\opencows2020\subset_debug\002\000003.jpg,002,0.9972972869873047
data\reid\opencows2020\subset_debug\002\000002.jpg,002,data\reid\opencows2020\subset_debug\002\000003.jpg,002,0.9868975281715393
data\reid\opencows2020\subset_debug\002\000003.jpg,002,data\reid\opencows2020\subset_debug\002\000001.jpg,002,0.9972972869873047
data\reid\opencows2020\subset_debug\002\000004.jpg,002,data\reid\opencows2020\subset_debug\002\000001.jpg,002,0.9908949136734009
data\reid\opencows2020\subset_debug\003\000001.jpg,003,data\reid\opencows2020\subset_debug\012\000003.jpg,012,0.9945852756500244
data\reid\opencows2020\subset_debug\003\000002.jpg,003,data\reid\opencows2020\subset_debug\008\000001.jpg,008,0.9975269436836243
data\reid\opencows2020\subset_debug\003\000003.jpg,003,data\reid\opencows2020\subset_debug\012\000001.jpg,012,0.9981092810630798
data\reid\opencows2020\subset_debug\003\000004.jpg,003,data\reid\opencows2020\subset_debug\012\000004.jpg,012,0.9842871427536011
data\reid\opencows2020\subset_debug\004\000001.jpg,004,data\reid\opencows2020\subset_debug\004\000004.jpg,004,0.958896279335022
data\reid\opencows2020\subset_debug\004\000002.jpg,004,data\reid\opencows2020\subset_debug\004\000003.jpg,004,0.9731043577194214
data\reid\opencows2020\subset_debug\004\000003.jpg,004,data\reid\opencows2020\subset_debug\004\000004.jpg,004,0.992216944694519
data\reid\opencows2020\subset_debug\004\000004.jpg,004,data\reid\opencows2020\subset_debug\004\000003.jpg,004,0.992216944694519
data\reid\opencows2020\subset_debug\005\000001.jpg,005,data\reid\opencows2020\subset_debug\005\000002.jpg,005,0.9943815469741821
data\reid\opencows2020\subset_debug\005\000002.jpg,005,data\reid\opencows2020\subset_debug\012\000002.jpg,012,0.9959720969200134
data\reid\opencows2020\subset_debug\005\000003.jpg,005,data\reid\opencows2020\subset_debug\005\000004.jpg,005,0.99854975938797
data\reid\opencows2020\subset_debug\005\000004.jpg,005,data\reid\opencows2020\subset_debug\005\000003.jpg,005,0.99854975938797
data\reid\opencows2020\subset_debug\006\000001.jpg,006,data\reid\opencows2020\subset_debug\010\000003.jpg,010,0.9895768165588379
data\reid\opencows2020\subset_debug\006\000002.jpg,006,data\reid\opencows2020\subset_debug\009\000002.jpg,009,0.9988290667533875
data\reid\opencows2020\subset_debug\006\000003.jpg,006,data\reid\opencows2020\subset_debug\009\000004.jpg,009,0.9919033646583557
data\reid\opencows2020\subset_debug\006\000004.jpg,006,data\reid\opencows2020\subset_debug\006\000002.jpg,006,0.998261570930481
data\reid\opencows2020\subset_debug\007\000001.jpg,007,data\reid\opencows2020\subset_debug\007\000004.jpg,007,0.9949042797088623
data\reid\opencows2020\subset_debug\007\000002.jpg,007,data\reid\opencows2020\subset_debug\007\000003.jpg,007,0.9960894584655762
data\reid\opencows2020\subset_debug\007\000003.jpg,007,data\reid\opencows2020\subset_debug\007\000002.jpg,007,0.9960894584655762
data\reid\opencows2020\subset_debug\007\000004.jpg,007,data\reid\opencows2020\subset_debug\007\000001.jpg,007,0.9949042797088623
data\reid\opencows2020\subset_debug\008\000001.jpg,008,data\reid\opencows2020\subset_debug\003\000002.jpg,003,0.9975269436836243
data\reid\opencows2020\subset_debug\008\000002.jpg,008,data\reid\opencows2020\subset_debug\008\000001.jpg,008,0.994384765625
data\reid\opencows2020\subset_debug\008\000003.jpg,008,data\reid\opencows2020\subset_debug\003\000002.jpg,003,0.9969922304153442
data\reid\opencows2020\subset_debug\008\000004.jpg,008,data\reid\opencows2020\subset_debug\008\000002.jpg,008,0.9885762333869934
data\reid\opencows2020\subset_debug\009\000001.jpg,009,data\reid\opencows2020\subset_debug\009\000003.jpg,009,0.9743043780326843
data\reid\opencows2020\subset_debug\009\000002.jpg,009,data\reid\opencows2020\subset_debug\006\000002.jpg,006,0.9988290667533875
data\reid\opencows2020\subset_debug\009\000003.jpg,009,data\reid\opencows2020\subset_debug\009\000004.jpg,009,0.988213062286377
data\reid\opencows2020\subset_debug\009\000004.jpg,009,data\reid\opencows2020\subset_debug\006\000003.jpg,006,0.9919033646583557
data\reid\opencows2020\subset_debug\010\000001.jpg,010,data\reid\opencows2020\subset_debug\010\000003.jpg,010,0.9996050596237183
data\reid\opencows2020\subset_debug\010\000002.jpg,010,data\reid\opencows2020\subset_debug\010\000003.jpg,010,0.9963787794113159
data\reid\opencows2020\subset_debug\010\000003.jpg,010,data\reid\opencows2020\subset_debug\010\000001.jpg,010,0.9996050596237183
data\reid\opencows2020\subset_debug\010\000004.jpg,010,data\reid\opencows2020\subset_debug\010\000001.jpg,010,0.997741162776947
data\reid\opencows2020\subset_debug\011\000001.jpg,011,data\reid\opencows2020\subset_debug\011\000004.jpg,011,0.9993188381195068
data\reid\opencows2020\subset_debug\011\000002.jpg,011,data\reid\opencows2020\subset_debug\011\000001.jpg,011,0.9988592267036438
data\reid\opencows2020\subset_debug\011\000003.jpg,011,data\reid\opencows2020\subset_debug\011\000002.jpg,011,0.9842939972877502
