query_path,true_id,pred_top1,top1_similarity,top1_correct,rejected_at_threshold
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\007\000015.jpg,007,007,0.9999997019767761,1,0
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\015\000023.jpg,015,015,0.9999992847442627,1,0
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\015\000025.jpg,015,015,0.9999986886978149,1,0
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\017\000010.jpg,017,017,0.9999985694885254,1,0
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\014\000013.jpg,014,014,0.9999983906745911,1,0
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\015\000019.jpg,015,015,0.999998152256012,1,0
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\014\000029.jpg,014,014,0.9999973773956299,1,0
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\046\000001.jpg,046,046,0.9999971389770508,1,0
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\015\000015.jpg,015,015,0.9999967217445374,1,0
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\015\000026.jpg,015,015,0.9999962449073792,1,0
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\024\000003.jpg,024,029,0.9999839663505554,0,0
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\027\000006.jpg,027,025,0.9999704360961914,0,0
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\011\000008.jpg,011,013,0.9999613761901855,0,0
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\013\000018.jpg,013,017,0.9999340772628784,0,0
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\017\000012.jpg,017,015,0.9998959898948669,0,0
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\003\000001.jpg,003,012,0.9998943209648132,0,0
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\012\000011.jpg,012,001,0.9998126029968262,0,0
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\013\000023.jpg,013,011,0.9998006224632263,0,0
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\003\000005.jpg,003,012,0.9997957944869995,0,0
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\012\000014.jpg,012,008,0.9997844099998474,0,0
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\008\000002.jpg,008,008,0.9995183348655701,1,1
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\005\000014.jpg,005,003,0.9995178580284119,0,1
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\030\000004.jpg,030,030,0.999513566493988,1,1
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\018\000003.jpg,018,018,0.9995112419128418,1,1
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\003\000010.jpg,003,012,0.999503493309021,0,1
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\044\000005.jpg,044,044,0.999503493309021,1,1
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\004\000006.jpg,004,004,0.9995025396347046,1,1
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\006\000005.jpg,006,006,0.9994972944259644,1,1
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\014\000003.jpg,014,014,0.9994933605194092,1,1
data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\005\000010.jpg,005,012,0.9994919300079346,0,1
