query_image,query_id,nn1_image,nn1_id,nn1_similarity
data\reid\opencows2020\subset_debug\001\000001.jpg,001,data\reid\opencows2020\subset_debug\001\000003.jpg,001,0.9959291219711304
data\reid\opencows2020\subset_debug\001\000002.jpg,001,data\reid\opencows2020\subset_debug\001\000004.jpg,001,0.9680514931678772
data\reid\opencows2020\subset_debug\001\000003.jpg,001,data\reid\opencows2020\subset_debug\001\000001.jpg,001,0.9959291219711304
data\reid\opencows2020\subset_debug\001\000004.jpg,001,data\reid\opencows2020\subset_debug\001\000002.jpg,001,0.9680514931678772
data\reid\opencows2020\subset_debug\002\000001.jpg,002,data\reid\opencows2020\subset_debug\002\000003.jpg,002,0.9953928589820862
data\reid\opencows2020\subset_debug\002\000002.jpg,002,data\reid\opencows2020\subset_debug\001\000003.jpg,001,0.9571452736854553
data\reid\opencows2020\subset_debug\002\000003.jpg,002,data\reid\opencows2020\subset_debug\002\000004.jpg,002,0.9954693913459778
data\reid\opencows2020\subset_debug\002\000004.jpg,002,data\reid\opencows2020\subset_debug\002\000003.jpg,002,0.9954693913459778
data\reid\opencows2020\subset_debug\003\000001.jpg,003,data\reid\opencows2020\subset_debug\005\000001.jpg,005,0.989841103553772
data\reid\opencows2020\subset_debug\003\000002.jpg,003,data\reid\opencows2020\subset_debug\012\000002.jpg,012,0.9847572445869446
data\reid\opencows2020\subset_debug\003\000003.jpg,003,data\reid\opencows2020\subset_debug\003\000004.jpg,003,0.9989980459213257
data\reid\opencows2020\subset_debug\003\000004.jpg,003,data\reid\opencows2020\subset_debug\003\000003.jpg,003,0.9989980459213257
data\reid\opencows2020\subset_debug\004\000001.jpg,004,data\reid\opencows2020\subset_debug\004\000004.jpg,004,0.7879577875137329
data\reid\opencows2020\subset_debug\004\000002.jpg,004,data\reid\opencows2020\subset_debug\004\000004.jpg,004,0.9492090940475464
data\reid\opencows2020\subset_debug\004\000003.jpg,004,data\reid\opencows2020\subset_debug\004\000004.jpg,004,0.9429005980491638
